Customer SK,TPCW_CUSTID,TPCE_CUSTID,PEC_CUSTID,NAME,ADDRESS 1,ADDRESS 2,CITY,STATE,ZIP,CUSTTYPEID,TYPENAME,HISTORIC TYPENAME,VERSION,START DATE,END DATE
76,-4000,-4000,2,Rudyard-Knapp,9261 Nulla Street,NULL,Sault Ste. Marie,LA,94298,S,State_Local Gov,State_Local Gov,Current,1999-01-01,2099-01-01
77,5,10,-4000,Saint Andrews Golf Corporation,8068 Substances Street,NULL,North Miami,FL,33261,F,US Govt,US Govt,Current,1999-01-01,2099-01-01
78,22,-4000,-4000,Santiago Processing,4565 Tempor Avenue,NULL,Hanahan,AK,15743,S,State_Local Gov,State_Local Gov,Current,1999-01-01,2099-01-01
79,21,-4000,-4000,Santos LLC,9130 Fames Road,NULL,Billings,IN,12869,C,Commercial,Commercial,Current,1999-01-01,2099-01-01
80,-4000,-4000,28,Schultz Learning,8542 Quis Street,NULL,Spartanburg,ND,73217,E,Education,Education,Current,1999-01-01,2099-01-01
81,-4000,18,-4000,Scp Pool Corporation,755 Leek Street,Suite 251,Enid,OK,73706,F,US Govt,US Govt,Current,1999-01-01,2099-01-01
82,-4000,38,-4000,Seattle Filmworks Incorporation,4958 Dietitian Street,NULL,Davis,MO,63379,F,US Govt,US Govt,Current,1999-01-01,2099-01-01
83,-4000,-4000,14,Serrano,7212 Eleifend Street,NULL,Princeton,KY,66785,C,Commercial,Commercial,Current,1999-01-01,2099-01-01
84,30,31,-4000,Setron,3085 Breakthrough Drive,Dept #80,Hart,MO,64865,S,State_Local Gov,State_Local Gov,Current,1999-01-01,2099-01-01
85,-4000,21,-4000,Shaw Brothers,2567 Cardinal Drive,Suite 371,Whiskey Flats,NV,89415,S,State_Local Gov,State_Local Gov,Current,1999-01-01,2099-01-01
86,-4000,0,-4000,Specialty Teleconstructors Incorporation,1570 Hordes Drive,NULL,Columbia,SC,29260,F,US Govt,US Govt,Current,1999-01-01,2099-01-01
87,-4000,-4000,31,Starfleet Academy,3061 Donec Avenue,NULL,Canandaigua,UT,75963,E,Education,Education,Current,1999-01-01,2099-01-01
88,-4000,5,-4000,Sterling Financial Corp Washington,7258 Meriting Avenue,Dept #505,Portland,OR,97201,E,Education,Education,Current,1999-01-01,2099-01-01
89,-4000,11,-4000,Synaptic Pharmaceutical Corporation,8072 Powerless Street,NULL,Bridgeport,IL,62417,C,Commercial,Commercial,Current,1999-01-01,2099-01-01
90,-4000,-4000,33,Tallulah,3376 Aliquet Street,NULL,Batavia,NM,50742,C,Commercial,Commercial,Current,1999-01-01,2099-01-01
91,-4000,37,-4000,Televideo Incorporation,939 Publishers Turnpike,Dept #793,Fort Hood,TX,76544,E,Education,Education,Current,1999-01-01,2099-01-01
92,14,-4000,-4000,The Final Frontier,528 Curabitur Road,NULL,Biddeford,MO,39683,S,State_Local Gov,State_Local Gov,Current,1999-01-01,2099-01-01
93,-4000,-4000,9,The Product Company (East),20021 Barnes Road,NULL,Stratford,NY,13470,C,Commercial,Commercial,Current,1999-01-01,2099-01-01
94,-4000,-4000,34,The Product Company (West),21 E Bullard Avenue,NULL,Fresno,CA,93710,C,Commercial,Commercial,Current,1999-01-01,2099-01-01
95,-4000,8,-4000,United Healthcare Corporation,675 Hordes Turnpike,Dept #855,Malaga,NM,88263,E,Education,Education,Current,1999-01-01,2099-01-01
96,-4000,29,-4000,Usx-steel Group Incorporation,7120 Whimsically Turnpike,NULL,Olympia,WA,98501,S,State_Local Gov,State_Local Gov,Current,1999-01-01,2099-01-01
97,-4000,17,-4000,V.e.v. Sa,7079 Aspect Circle,NULL,Ross Siding,PA,17723,F,US Govt,US Govt,Current,1999-01-01,2099-01-01
98,-4000,-4000,22,Xavier Harmon,2285 Ante Street,NULL,Farmington,WV,16456,E,Education,Education,Current,1999-01-01,2099-01-01
99,3,-4000,-4000,YuliChem,6440 Amet Street,NULL,Laguna Woods,KY,53141,C,Commercial,Commercial,Current,1999-01-01,2099-01-01
100,13,-4000,40,Zena Machines,1277 Hendrerit Avenue,NULL,San Juan,WA,10776,S,State_Local Gov,State_Local Gov,Current,1999-01-01,2099-01-01
